genre,count
pop,1716
rap,1432
pop rap,1430
dance pop,1194
post-teen pop,1050
hip hop,923
trap,884
contemporary country,736
country road,597
country,595
southern hip hop,519
modern country rock,356
atl hip hop,316
r&b,300
canadian pop,273
melodic rap,272
urban contemporary,233
pop rock,200
hollywood,200
glee club,181
neo mellow,153
canadian hip hop,150
toronto rap,150
edm,144
gangster rap,142
country pop,128
tropical house,127
hip pop,126
modern rock,123
miami hip hop,118
latin,117
electropop,112
chicago rap,111
conscious hip hop,105
viral pop,105
country dawn,104
uk pop,102
dirty south rap,86
philly rap,83
detroit hip hop,72
alternative r&b,66
post-grunge,65
oklahoma country,63
talent show,62
canadian contemporary r&b,60
neo soul,59
boy band,58
reggaeton,57
electro house,56
rock,55
atl trap,53
nc hip hop,52
new orleans rap,50
emo rap,50
